Category,Subcategory,Name,Description,Price,Available,Featured,Stock Tracking,Image URL / File,Original Type
Hanson Donuts,Regular,Canelle,Ring Doughnut Rolled in Cinnamon sugar,$2.25,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Codineige,Ring Doughnut Rolled in Icing sugar,$2.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Royal Glaze,Ring Doughnut Dipped in Royal Glaze,$2.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Strawberry Glaze,Ring Doughnut Dipped in Strawberry Glaze,$2.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Nutella Glaze,"Ring Doughnut, Dipped in Nutella glaze",$2.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Lotus Glaze,Ring Doughnut Dipped in Lotus Glaze,$2.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Only You,Ring Doughnut Dipped in Milk Chocolate Ganash & a sprinkle of cacao,$3.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Only You Dark,Ring Doughnut Dipped in Dark Chocolate Ganash & a sprinkle of cacao,$3.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Only You White,Ring Doughnut White Chocolate Ganash & a sprinkle of cacao,$3.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Only Pistache,"Ring Doughnut Dipped in Pistachio Chocolate Ganash, a sprinkle of crushed Pistachio",$3.10,Yes,No,Optional,,1) Regular
Hanson Donuts,Regular,Caramel Coco,Ring Doughnut Dipped in Caramel Chocolate ganash & a sprinkle of cacao,$3.00,Yes,No,Optional,,1) Regular
Hanson Donuts,Advanced,Cookies n Cream,"Ring Doughnut Dipped in Nutella Glaze, topped with Crushed Oreo & Hershey's pieces",$3.00,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Biscuit Crunch,Ring Doughnut Dipped in Milk Chocolate Ganash & KitKat Crunch,$3.75,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,PB&J,"Ring Doughnut Filled with Strawberry jam spread Topped with Peanut butter glaze, a sprinkle of crushed peanuts & a swipe of jam",$2.75,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Strawberry Jam,Full Doughnut Filled with Strawberry jam. Rolled in Icing Sugar. Topped with a strawberry piece,$2.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Raspberry Jam,Full Doughnut Filled with Raspberry jam Rolled in icing sugar & topped with Raspberry pieces,$4.00,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Blackberry Jam,Full Doughnut Filled with Blackberry jam Rolled in icing sugar & topped with Blackberry pieces,$4.00,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Simply Nutella,Full Doughnut Filled with Nutella. Rolled in Icing Sugar.,$2.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Boston Dream,"Full Doughnut Filled with Vanilla Pastry cream Dipped in Dark chocolate ganash, & Cacao Sprinkle",$3.30,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Boston Cream,"Full Doughnut Filled with Vanilla Pastry cream Dipped in Milk chocolate ganash, & Cacao Sprinkle",$3.30,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,White Boston,"Full Doughnut Filled with Vanilla Pastry cream Dipped in White chocolate ganash, & Cacao Sprinkle",$3.30,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Crème Brulee,Full Doughnut Filled with Vanilla Pastry Cream Dipped in Molten sugar,$2.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Creamy Cloud,Full Doughnut Filled with Vanilla Pastry Cream Rolled in Icing sugar,$2.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,White Cloud,Full Doughnut Filled with White Chocolate Pastry Cream Rolled in Icing Sugar,$2.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Perdu Cloud,Square Pain Perdu Doughnut Rolled in Icing Sugar,$2.75,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Pain Perdu Lotus,"Square Pain Perdu Doughnut Topped with Lotus spread, & a sprinkle of lotus crumble",$3.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Pain Perdu Nutella,Square Pain Perdu Doughnut Topped with Nutella spread & a sprinkle of crushed hazelnut,$3.30,Yes,No,Optional,,2) Advanced
Hanson Donuts,Advanced,Triumph Caramel Cheesecake,"Ring Doughnut Topped with Chocolate Cheesecake cream, Chocolate chips and a drizzle of Salted butter caramel.",$3.50,Yes,No,Optional,,2) Advanced
Hanson Donuts,Special,Perdu Bites,Perdu Doughnut Bites in cup Side: Pastry Cream in cup Sprinkle Icing Sugar,$2.75,Yes,No,Optional,,3) Special
